,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01,2.773375556761103,1.8425652930794023,3.0477049306293065,2.773375556761103,2.773375556761103,-0.3355176988654092,-0.3355176988654092,-0.3355176988654092,-0.045127641052424915,-0.045127641052424915,-0.045127641052424915,-0.2903900578129843,-0.2903900578129843,-0.2903900578129843,0.0,0.0,0.0,2.4378578578956938
1,1997-09-02,2.7727491899857646,1.9108822554829428,3.151821084636112,2.7727491899857646,2.7727491899857646,-0.24269833196048363,-0.24269833196048363,-0.24269833196048363,0.03207244904049199,0.03207244904049199,0.03207244904049199,-0.27477078100097563,-0.27477078100097563,-0.27477078100097563,0.0,0.0,0.0,2.530050858025281
2,1997-09-03,2.7721228232104256,1.9676338275668168,3.1741837467260874,2.7721228232104256,2.7721228232104256,-0.19838890711256144,-0.19838890711256144,-0.19838890711256144,0.05986882495765754,0.05986882495765754,0.05986882495765754,-0.25825773207021896,-0.25825773207021896,-0.25825773207021896,0.0,0.0,0.0,2.573733916097864
3,1997-09-04,2.771496456435087,2.0085745280947824,3.278834295345301,2.771496456435087,2.771496456435087,-0.14258551461000227,-0.14258551461000227,-0.14258551461000227,0.0983065252885932,0.0983065252885932,0.0983065252885932,-0.24089203989859545,-0.24089203989859545,-0.24089203989859545,0.0,0.0,0.0,2.628910941825085
4,1997-09-05,2.7708700896597485,2.018693137271236,3.2150285113897383,2.7708700896597485,2.7708700896597485,-0.15613764436240746,-0.15613764436240746,-0.15613764436240746,0.0665830683592071,0.0665830683592071,0.0665830683592071,-0.2227207127216146,-0.2227207127216146,-0.2227207127216146,0.0,0.0,0.0,2.614732445297341
5,1997-09-06,2.77024372288441,1.8165505099497519,3.1033094164842705,2.77024372288441,2.77024372288441,-0.30536225608155415,-0.30536225608155415,-0.30536225608155415,-0.1015659088867479,-0.1015659088867479,-0.1015659088867479,-0.20379634719480624,-0.20379634719480624,-0.20379634719480624,0.0,0.0,0.0,2.4648814668028556
6,1997-09-07,2.769617356109071,1.8593737707053075,3.113599473157554,2.769617356109071,2.769617356109071,-0.29431410590946155,-0.29431410590946155,-0.29431410590946155,-0.11013731770690645,-0.11013731770690645,-0.11013731770690645,-0.18417678820255512,-0.18417678820255512,-0.18417678820255512,0.0,0.0,0.0,2.4753032501996093
7,1997-09-08,2.7689909893337323,1.996541421905603,3.1525427102429364,2.7689909893337323,2.7689909893337323,-0.20905238324908998,-0.20905238324908998,-0.20905238324908998,-0.0451276410523392,-0.0451276410523392,-0.0451276410523392,-0.1639247421967508,-0.1639247421967508,-0.1639247421967508,0.0,0.0,0.0,2.5599386060846423
8,1997-09-09,2.7683646225583933,2.0563979522822966,3.281345444693372,2.7683646225583933,2.7683646225583933,-0.11103489826660629,-0.11103489826660629,-0.11103489826660629,0.03207244904049246,0.03207244904049246,0.03207244904049246,-0.14310734730709876,-0.14310734730709876,-0.14310734730709876,0.0,0.0,0.0,2.6573297242917873
9,1997-09-10,2.767738255783055,2.0974328606539254,3.302361038340455,2.767738255783055,2.767738255783055,-0.06192687893434891,-0.06192687893434891,-0.06192687893434891,0.05986882495762067,0.05986882495762067,0.05986882495762067,-0.12179570389196957,-0.12179570389196957,-0.12179570389196957,0.0,0.0,0.0,2.705811376848706
10,1997-09-11,2.767111889007716,2.1580397395571804,3.3731278814467807,2.767111889007716,2.767111889007716,-0.0017578443044277236,-0.0017578443044277236,-0.0017578443044277236,0.09830652528858698,0.09830652528858698,0.09830652528858698,-0.10006436959301471,-0.10006436959301471,-0.10006436959301471,0.0,0.0,0.0,2.7653540447032885
11,1997-09-12,2.7664855222323776,2.1416637147058024,3.4181648267761515,2.7664855222323776,2.7664855222323776,-0.01140775495135733,-0.01140775495135733,-0.01140775495135733,0.06658306835937873,0.06658306835937873,0.06658306835937873,-0.07799082331073606,-0.07799082331073606,-0.07799082331073606,0.0,0.0,0.0,2.7550777672810205
12,1997-09-13,2.7658591554570386,1.9428636408644269,3.2007061325127766,2.7658591554570386,2.7658591554570386,-0.15722081171896413,-0.15722081171896413,-0.15722081171896413,-0.10156590888658867,-0.10156590888658867,-0.10156590888658867,-0.055654902832375445,-0.055654902832375445,-0.055654902832375445,0.0,0.0,0.0,2.6086383437380745
13,1997-09-14,2.7652327886817,2.0010725546123007,3.2065067582882762,2.7652327886817,2.7652327886817,-0.14327553881778268,-0.14327553881778268,-0.14327553881778268,-0.11013731770686187,-0.11013731770686187,-0.11013731770686187,-0.033138221110920824,-0.033138221110920824,-0.033138221110920824,0.0,0.0,0.0,2.621957249863917
14,1997-09-15,2.764606421906362,2.0786318340110963,3.3296109044256035,2.764606421906362,2.764606421906362,-0.055651207465689745,-0.055651207465689745,-0.055651207465689745,-0.045127641052480655,-0.045127641052480655,-0.045127641052480655,-0.010523566413209095,-0.010523566413209095,-0.010523566413209095,0.0,0.0,0.0,2.7089552144406723
15,1997-09-16,2.763980055131023,2.127521529725446,3.414735893375098,2.763980055131023,2.763980055131023,0.04417815731583997,0.04417815731583997,0.04417815731583997,0.032072449040541295,0.032072449040541295,0.032072449040541295,0.012105708275298667,0.012105708275298667,0.012105708275298667,0.0,0.0,0.0,2.808158212446863
16,1997-09-17,2.7633536883556844,2.2735434853180845,3.484826857677712,2.7633536883556844,2.7633536883556844,0.09453512604246102,0.09453512604246102,0.09453512604246102,0.05986882495757459,0.05986882495757459,0.05986882495757459,0.034666301084886414,0.034666301084886414,0.034666301084886414,0.0,0.0,0.0,2.8578888143981453
17,1997-09-18,2.7627273215803454,2.2976603457453377,3.5393676341939084,2.7627273215803454,2.7627273215803454,0.15538210205676675,0.15538210205676675,0.15538210205676675,0.09830652528862652,0.09830652528862652,0.09830652528862652,0.05707557676814022,0.05707557676814022,0.05707557676814022,0.0,0.0,0.0,2.9181094236371123
18,1997-09-19,2.7621009548050073,2.273658660543943,3.523306179281454,2.7621009548050073,2.7621009548050073,0.14583524466226724,0.14583524466226724,0.14583524466226724,0.06658306835927226,0.06658306835927226,0.06658306835927226,0.07925217630299501,0.07925217630299501,0.07925217630299501,0.0,0.0,0.0,2.9079361994672746
19,1997-09-20,2.7614745880296683,2.187285906334568,3.3798985321127946,2.7614745880296683,2.7614745880296683,-0.0004492938239927912,-0.0004492938239927912,-0.0004492938239927912,-0.10156590888668073,-0.10156590888668073,-0.10156590888668073,0.10111661506268793,0.10111661506268793,0.10111661506268793,0.0,0.0,0.0,2.7610252942056754
