,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01 01:00:00,2.1649033424709203,0.7956514582657992,2.383243595216668,2.1649033424709203,2.1649033424709203,-0.5845461455856135,-0.5845461455856135,-0.5845461455856135,-0.23018007390756642,-0.23018007390756642,-0.23018007390756642,-0.10113087935766023,-0.10113087935766023,-0.10113087935766023,-0.2532351923203866,-0.2532351923203866,-0.2532351923203866,0.0,0.0,0.0,1.580357196885307
1,1997-09-02 01:00:00,2.1619318015685316,0.903636713608576,2.463973854090734,2.1619318015685316,2.1619318015685316,-0.4634756789648544,-0.4634756789648544,-0.4634756789648544,-0.23018007390574996,-0.23018007390574996,-0.23018007390574996,0.017693386098101286,0.017693386098101286,0.017693386098101286,-0.2509889911572058,-0.2509889911572058,-0.2509889911572058,0.0,0.0,0.0,1.6984561226036772
2,1997-09-03 01:00:00,2.1589602606661424,0.9500854468474427,2.535106786587238,2.1589602606661424,2.1589602606661424,-0.42280558580604355,-0.42280558580604355,-0.42280558580604355,-0.23018007390716466,-0.23018007390716466,-0.23018007390716466,0.055841477716217613,0.055841477716217613,0.055841477716217613,-0.24846698961509658,-0.24846698961509658,-0.24846698961509658,0.0,0.0,0.0,1.736154674860099
3,1997-09-04 01:00:00,2.1559887197637537,1.0254400890592636,2.537026878946442,2.1559887197637537,2.1559887197637537,-0.4224183460880262,-0.4224183460880262,-0.4224183460880262,-0.2301800739056443,-0.2301800739056443,-0.2301800739056443,0.05341747189200297,0.05341747189200297,0.05341747189200297,-0.2456557440743847,-0.2456557440743847,-0.2456557440743847,0.0,0.0,0.0,1.7335703736757275
4,1997-09-05 01:00:00,2.153017178861365,0.9164812995034036,2.5506497073111842,2.153017178861365,2.153017178861365,-0.38745266511488086,-0.38745266511488086,-0.38745266511488086,-0.23018007390821824,-0.23018007390821824,-0.23018007390821824,0.08527061250743632,0.08527061250743632,0.08527061250743632,-0.24254320371409885,-0.24254320371409885,-0.24254320371409885,0.0,0.0,0.0,1.7655645137464842
5,1997-09-06 01:00:00,2.1500456379589763,0.862711976600039,2.49133434672294,2.1500456379589763,2.1500456379589763,-0.45166665222059504,-0.45166665222059504,-0.45166665222059504,-0.2301800739066979,-0.2301800739066979,-0.2301800739066979,0.01763227654836759,0.01763227654836759,0.01763227654836759,-0.23911885486226478,-0.23911885486226478,-0.23911885486226478,0.0,0.0,0.0,1.6983789857383813
6,1997-09-07 01:00:00,2.147074097056587,0.7304886215574716,2.314599245871962,2.147074097056587,2.147074097056587,-0.5942782696163859,-0.5942782696163859,-0.5942782696163859,-0.2301800739051776,-0.2301800739051776,-0.2301800739051776,-0.1287243454044068,-0.1287243454044068,-0.1287243454044068,-0.23537385030680152,-0.23537385030680152,-0.23537385030680152,0.0,0.0,0.0,1.5527958274402014
7,1997-09-08 01:00:00,2.1441025561541984,0.7303346677907322,2.368905615494812,2.1441025561541984,2.1441025561541984,-0.562612075499858,-0.562612075499858,-0.562612075499858,-0.23018007390775136,-0.23018007390775136,-0.23018007390775136,-0.10113087935757571,-0.10113087935757571,-0.10113087935757571,-0.23130112223453103,-0.23130112223453103,-0.23130112223453103,0.0,0.0,0.0,1.5814904806543404
8,1997-09-09 01:00:00,2.1411310152518097,0.9058860825823639,2.5199259039929287,2.1411310152518097,2.1411310152518097,-0.43938216546025255,-0.43938216546025255,-0.43938216546025255,-0.23018007390623102,-0.23018007390623102,-0.23018007390623102,0.017693386098175425,0.017693386098175425,0.017693386098175425,-0.22689547765219703,-0.22689547765219703,-0.22689547765219703,0.0,0.0,0.0,1.7017488497915572
9,1997-09-10 01:00:00,2.138159474349421,0.9200583796732258,2.547458280005475,2.138159474349421,2.138159474349421,-0.396492271533616,-0.396492271533616,-0.396492271533616,-0.230180073908805,-0.230180073908805,-0.230180073908805,0.055841477716202716,0.055841477716202716,0.055841477716202716,-0.22215367534101368,-0.22215367534101368,-0.22215367534101368,0.0,0.0,0.0,1.7416672028158051
10,1997-09-11 01:00:00,2.1351879334470323,0.9469211697087097,2.553387188471496,2.1351879334470323,2.1351879334470323,-0.39383708561863157,-0.39383708561863157,-0.39383708561863157,-0.23018007390728465,-0.23018007390728465,-0.23018007390728465,0.05341747189203071,0.05341747189203071,0.05341747189203071,-0.21707448360337764,-0.21707448360337764,-0.21707448360337764,0.0,0.0,0.0,1.7413508478284008
11,1997-09-12 01:00:00,2.1322163925446436,0.936468330188934,2.640472579325532,2.1322163925446436,2.1322163925446436,-0.35656817967086574,-0.35656817967086574,-0.35656817967086574,-0.23018007390460504,-0.23018007390460504,-0.23018007390460504,0.08527061250742468,0.08527061250742468,0.08527061250742468,-0.21165871827368551,-0.21165871827368551,-0.21165871827368551,0.0,0.0,0.0,1.7756482128737778
