,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01,2.304649328039335,1.7234207250040143,2.872957523982496,2.304649328039335,2.304649328039335,-0.07088161065538941,-0.07088161065538941,-0.07088161065538941,-0.024103993569714516,-0.024103993569714516,-0.024103993569714516,-0.046777617085674905,-0.046777617085674905,-0.046777617085674905,0.0,0.0,0.0,2.233767717383946
1,1997-09-02,2.3040949907186445,1.6967424569745213,2.869307486462747,2.3040949907186445,2.3040949907186445,-0.017801657310812045,-0.017801657310812045,-0.017801657310812045,0.026583050358221595,0.026583050358221595,0.026583050358221595,-0.044384707669033636,-0.044384707669033636,-0.044384707669033636,0.0,0.0,0.0,2.2862933334078326
2,1997-09-03,2.3035406533979543,1.734583176725857,2.8859683138877257,2.3035406533979543,2.3035406533979543,-0.0013447660564317632,-0.0013447660564317632,-0.0013447660564317632,0.04043714825395864,0.04043714825395864,0.04043714825395864,-0.0417819143103904,-0.0417819143103904,-0.0417819143103904,0.0,0.0,0.0,2.3021958873415227
3,1997-09-04,2.3029863160772632,1.7531413611073812,2.872327667923366,2.3029863160772632,2.3029863160772632,0.03661088594608238,0.03661088594608238,0.03661088594608238,0.07556971228938704,0.07556971228938704,0.07556971228938704,-0.03895882634330466,-0.03895882634330466,-0.03895882634330466,0.0,0.0,0.0,2.3395972020233455
4,1997-09-05,2.302431978756573,1.7837532897045336,2.8697261188081002,2.302431978756573,2.302431978756573,0.008083560453004904,0.008083560453004904,0.008083560453004904,0.043990006813177995,0.043990006813177995,0.043990006813177995,-0.035906446360173094,-0.035906446360173094,-0.035906446360173094,0.0,0.0,0.0,2.310515539209578
5,1997-09-06,2.3018776414358824,1.6284984166729959,2.7475327796656503,2.3018776414358824,2.3018776414358824,-0.1211289667167169,-0.1211289667167169,-0.1211289667167169,-0.08851167917390515,-0.08851167917390515,-0.08851167917390515,-0.03261728754281173,-0.03261728754281173,-0.03261728754281173,0.0,0.0,0.0,2.1807486747191653
6,1997-09-07,2.3013233041151917,1.650034347685997,2.7643150340778204,2.3013233041151917,2.3013233041151917,-0.10304970092349655,-0.10304970092349655,-0.10304970092349655,-0.07396424497119779,-0.07396424497119779,-0.07396424497119779,-0.029085455952298767,-0.029085455952298767,-0.029085455952298767,0.0,0.0,0.0,2.198273603191695
7,1997-09-08,2.3007689667945015,1.6561073470458296,2.791264220565353,2.3007689667945015,2.3007689667945015,-0.0494107106337783,-0.0494107106337783,-0.0494107106337783,-0.024103993569654307,-0.024103993569654307,-0.024103993569654307,-0.02530671706412398,-0.02530671706412398,-0.02530671706412398,0.0,0.0,0.0,2.251358256160723
8,1997-09-09,2.300214629473811,1.7601331552949628,2.892320246354879,2.300214629473811,2.300214629473811,0.005304504351682432,0.005304504351682432,0.005304504351682432,0.026583050358210573,0.026583050358210573,0.026583050358210573,-0.021278546006528138,-0.021278546006528138,-0.021278546006528138,0.0,0.0,0.0,2.3055191338254932
9,1997-09-10,2.29966029215312,1.7663761010439896,2.846272492587479,2.29966029215312,2.29966029215312,0.023436987118280163,0.023436987118280163,0.023436987118280163,0.04043714825392832,0.04043714825392832,0.04043714825392832,-0.01700016113564817,-0.01700016113564817,-0.01700016113564817,0.0,0.0,0.0,2.3230972792714004
