,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01 01:00:00,2.065396560697756,0.7918322837852183,2.5103019484811218,2.065396560697756,2.065396560697756,-0.4150191085127219,-0.4150191085127219,-0.4150191085127219,-0.22589487268785474,-0.22589487268785474,-0.22589487268785474,-0.1205006182463433,-0.1205006182463433,-0.1205006182463433,-0.06862361757852388,-0.06862361757852388,-0.06862361757852388,0.0,0.0,0.0,1.650377452185034
1,1997-09-02 01:00:00,2.062473679675144,0.9338523531376275,2.678960003949059,2.062473679675144,2.062473679675144,-0.27240615541824437,-0.27240615541824437,-0.27240615541824437,-0.2258948726857534,-0.2258948726857534,-0.2258948726857534,0.01803941606317318,0.01803941606317318,0.01803941606317318,-0.06455069879566414,-0.06455069879566414,-0.06455069879566414,0.0,0.0,0.0,1.7900675242568995
2,1997-09-03 01:00:00,2.059550798652532,0.9455457550307872,2.7706448227578524,2.059550798652532,2.059550798652532,-0.21666678138615436,-0.21666678138615436,-0.21666678138615436,-0.22589487268660793,-0.22589487268660793,-0.22589487268660793,0.06922184574777304,0.06922184574777304,0.06922184574777304,-0.05999375444731945,-0.05999375444731945,-0.05999375444731945,0.0,0.0,0.0,1.8428840172663774
3,1997-09-04 01:00:00,2.0566279176299203,0.9624122791355896,2.7730620852286205,2.0566279176299203,2.0566279176299203,-0.20500935770097398,-0.20500935770097398,-0.20500935770097398,-0.22589487268519054,-0.22589487268519054,-0.22589487268519054,0.0758511451902643,0.0758511451902643,0.0758511451902643,-0.05496563020604774,-0.05496563020604774,-0.05496563020604774,0.0,0.0,0.0,1.8516185599289463
4,1997-09-05 01:00:00,2.053705036607308,0.9824964847516451,2.7583357221837215,2.053705036607308,2.053705036607308,-0.17045932724959095,-0.17045932724959095,-0.17045932724959095,-0.2258948726878612,-0.2258948726878612,-0.2258948726878612,0.10491831713469107,0.10491831713469107,0.10491831713469107,-0.049482771696420846,-0.049482771696420846,-0.049482771696420846,0.0,0.0,0.0,1.8832457093577173
5,1997-09-06 01:00:00,2.050782155584696,0.8544880863971791,2.692725359949848,2.050782155584696,2.050782155584696,-0.26126726483478246,-0.26126726483478246,-0.26126726483478246,-0.22589487268644373,-0.22589487268644373,-0.22589487268644373,0.008192719380965377,0.008192719380965377,0.008192719380965377,-0.04356511152930418,-0.04356511152930418,-0.04356511152930418,0.0,0.0,0.0,1.7895148907499137
6,1997-09-07 01:00:00,2.047859274562084,0.7361822511794605,2.4543421504426775,2.047859274562084,2.047859274562084,-0.41885362056959224,-0.41885362056959224,-0.41885362056959224,-0.2258948726850264,-0.2258948726850264,-0.2258948726850264,-0.1557228252704449,-0.1557228252704449,-0.1557228252704449,-0.037235922614120925,-0.037235922614120925,-0.037235922614120925,0.0,0.0,0.0,1.6290056539924918
7,1997-09-08 01:00:00,2.0449363935394724,0.7279388176345684,2.5640615741177855,2.0449363935394724,2.0449363935394724,-0.3769171299625295,-0.3769171299625295,-0.3769171299625295,-0.22589487268769703,-0.22589487268769703,-0.22589487268769703,-0.12050061824624665,-0.12050061824624665,-0.12050061824624665,-0.030521639028585984,-0.030521639028585984,-0.030521639028585984,0.0,0.0,0.0,1.6680192635769429
8,1997-09-09 01:00:00,2.0420135125168604,0.9078798865099829,2.7173812109276736,2.0420135125168604,2.0420135125168604,-0.23130710268823743,-0.23130710268823743,-0.23130710268823743,-0.22589487268627967,-0.22589487268627967,-0.22589487268627967,0.018039416063257152,0.018039416063257152,0.018039416063257152,-0.023451646065214864,-0.023451646065214864,-0.023451646065214864,0.0,0.0,0.0,1.810706409828623
9,1997-09-10 01:00:00,2.0390906314942487,0.9924866234869602,2.8065948265898326,2.0390906314942487,2.0390906314942487,-0.1727310683388149,-0.1727310683388149,-0.1727310683388149,-0.2258948726889503,-0.2258948726889503,-0.2258948726889503,0.06922184574776837,0.06922184574776837,0.06922184574776837,-0.016058041397633026,-0.016058041397633026,-0.016058041397633026,0.0,0.0,0.0,1.866359563155434
