,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01,2.264596494678734,1.6202654324471903,2.9473950888757616,2.264596494678734,2.264596494678734,-0.0008492426875223257,-0.0008492426875223257,-0.0008492426875223257,-0.017782937332588587,-0.017782937332588587,-0.017782937332588587,0.016933694645066274,0.016933694645066274,0.016933694645066274,0.0,0.0,0.0,2.263747251991212
1,1997-09-02,2.2640365348549114,1.697716834995807,3.0625476270958027,2.2640365348549114,2.2640365348549114,0.12343348474733624,0.12343348474733624,0.12343348474733624,0.1058340889605082,0.1058340889605082,0.1058340889605082,0.017599395786828058,0.017599395786828058,0.017599395786828058,0.0,0.0,0.0,2.387470019602248
2,1997-09-03,2.2634765750310892,1.6959238915147985,3.0869113323373494,2.2634765750310892,2.2634765750310892,0.1402168597768553,0.1402168597768553,0.1402168597768553,0.12180743798726469,0.12180743798726469,0.12180743798726469,0.018409421789590645,0.018409421789590645,0.018409421789590645,0.0,0.0,0.0,2.4036934348079444
3,1997-09-04,2.2629166152072666,1.7360236849972792,3.110524199194236,2.2629166152072666,2.2629166152072666,0.1728672724093164,0.1728672724093164,0.1728672724093164,0.15350320121367148,0.15350320121367148,0.15350320121367148,0.019364071195644934,0.019364071195644934,0.019364071195644934,0.0,0.0,0.0,2.435783887616583
4,1997-09-05,2.262356655383444,1.6999114078798154,3.052685569166418,2.262356655383444,2.262356655383444,0.12877831034913562,0.12877831034913562,0.12877831034913562,0.1083151479469148,0.1083151479469148,0.1083151479469148,0.02046316240222079,0.02046316240222079,0.02046316240222079,0.0,0.0,0.0,2.3911349657325798
5,1997-09-06,2.261796695559622,1.3767599381642284,2.7498522413550583,2.261796695559622,2.261796695559622,-0.18141146825066243,-0.18141146825066243,-0.18141146825066243,-0.20311758823008755,-0.20311758823008755,-0.20311758823008755,0.021706119979425113,0.021706119979425113,0.021706119979425113,0.0,0.0,0.0,2.0803852273089594
6,1997-09-07,2.261236735735799,1.2774726878203506,2.6670284372424753,2.261236735735799,2.261236735735799,-0.24546728621962077,-0.24546728621962077,-0.24546728621962077,-0.26855935054600477,-0.26855935054600477,-0.26855935054600477,0.023092064326383943,0.023092064326383943,0.023092064326383943,0.0,0.0,0.0,2.0157694495161786
7,1997-09-08,2.2606767759119766,1.5547620952263996,2.9395733828252824,2.2606767759119766,2.2606767759119766,0.0068369657978099635,0.0068369657978099635,0.0068369657978099635,-0.017782937332376136,-0.017782937332376136,-0.017782937332376136,0.024619903130186086,0.024619903130186086,0.024619903130186086,0.0,0.0,0.0,2.2675137417097866
8,1997-09-09,2.260116816088154,1.6728699687866408,3.118692069147022,2.260116816088154,2.260116816088154,0.13212251201932457,0.13212251201932457,0.13212251201932457,0.10583408896050608,0.10583408896050608,0.10583408896050608,0.026288423058818462,0.026288423058818462,0.026288423058818462,0.0,0.0,0.0,2.3922393281074785
9,1997-09-10,2.259556856264332,1.6672909106290896,3.1470329051034804,2.259556856264332,2.259556856264332,0.1499038180940201,0.1499038180940201,0.1499038180940201,0.12180743798724823,0.12180743798724823,0.12180743798724823,0.028096380106771866,0.028096380106771866,0.028096380106771866,0.0,0.0,0.0,2.409460674358352
10,1997-09-11,2.258996896440509,1.7912524643152536,3.126717814156373,2.258996896440509,2.258996896440509,0.18354578823336704,0.18354578823336704,0.18354578823336704,0.15350320121371588,0.15350320121371588,0.15350320121371588,0.030042587019651176,0.030042587019651176,0.030042587019651176,0.0,0.0,0.0,2.4425426846738763
11,1997-09-12,2.2584369366166865,1.6968779740742883,3.0808926579232043,2.2584369366166865,2.2584369366166865,0.14044114420019396,0.14044114420019396,0.14044114420019396,0.10831514794719066,0.10831514794719066,0.10831514794719066,0.032125996253003324,0.032125996253003324,0.032125996253003324,0.0,0.0,0.0,2.3988780808168806
