,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01,1.8614772754557443,1.1317436458938648,2.441068209647272,1.8614772754557443,1.8614772754557443,-0.05359837914037036,-0.05359837914037036,-0.05359837914037036,-0.037769976713139176,-0.037769976713139176,-0.037769976713139176,-0.015828402427231176,-0.015828402427231176,-0.015828402427231176,0.0,0.0,0.0,1.8078788963153738
1,1997-09-02,1.8611359280321502,1.2151207578931644,2.493891362992769,1.8611359280321502,1.8611359280321502,0.03146810988048425,0.03146810988048425,0.03146810988048425,0.04329571201974641,0.04329571201974641,0.04329571201974641,-0.011827602139262148,-0.011827602139262148,-0.011827602139262148,0.0,0.0,0.0,1.8926040379126345
2,1997-09-03,1.8607945806085566,1.301009599502696,2.5306314207051988,1.8607945806085566,1.8607945806085566,0.06727306330379082,0.06727306330379082,0.06727306330379082,0.07460011740958589,0.07460011740958589,0.07460011740958589,-0.007327054105795036,-0.007327054105795036,-0.007327054105795036,0.0,0.0,0.0,1.9280676439123474
3,1997-09-04,1.8604532331849628,1.3951205103488582,2.6289795816374535,1.8604532331849628,1.8604532331849628,0.10262254123318532,0.10262254123318532,0.10262254123318532,0.10496464036647365,0.10496464036647365,0.10496464036647365,-0.002342099133288339,-0.002342099133288339,-0.002342099133288339,0.0,0.0,0.0,1.9630757744181482
4,1997-09-05,1.860111885761369,1.3412794592794377,2.5392940885108586,1.860111885761369,1.860111885761369,0.06917865762011782,0.06917865762011782,0.06917865762011782,0.06607017178162136,0.06607017178162136,0.06607017178162136,0.0031084858384964587,0.0031084858384964587,0.0031084858384964587,0.0,0.0,0.0,1.9292905433814869
5,1997-09-06,1.859770538337775,1.1711106621334595,2.3397209653860203,1.859770538337775,1.859770538337775,-0.12258521719842173,-0.12258521719842173,-0.12258521719842173,-0.1315878373500553,-0.1315878373500553,-0.1315878373500553,0.009002620151633549,0.009002620151633549,0.009002620151633549,0.0,0.0,0.0,1.7371853211393533
6,1997-09-07,1.8594291909141814,1.147565276138113,2.3690272152985634,1.8594291909141814,1.8594291909141814,-0.10425774588589602,-0.10425774588589602,-0.10425774588589602,-0.11957282751435828,-0.11957282751435828,-0.11957282751435828,0.01531508162846225,0.01531508162846225,0.01531508162846225,0.0,0.0,0.0,1.7551714450282854
7,1997-09-08,1.8590878434905875,1.1988584261479178,2.5071581504949942,1.8590878434905875,1.8590878434905875,-0.01575227957610964,-0.01575227957610964,-0.01575227957610964,-0.037769976713034434,-0.037769976713034434,-0.037769976713034434,0.0220176971369248,0.0220176971369248,0.0220176971369248,0.0,0.0,0.0,1.843335563914478
8,1997-09-09,1.8587464960669937,1.2866319611091217,2.525967482949733,1.8587464960669937,1.8587464960669937,0.07237527183608687,0.07237527183608687,0.07237527183608687,0.04329571201973554,0.04329571201973554,0.04329571201973554,0.02907955981635133,0.02907955981635133,0.02907955981635133,0.0,0.0,0.0,1.9311217679030805
9,1997-09-10,1.8584051486434001,1.3793764938775517,2.5849756707197376,1.8584051486434001,1.8584051486434001,0.11106738839359075,0.11106738839359075,0.11106738839359075,0.07460011740955323,0.07460011740955323,0.07460011740955323,0.03646727098403748,0.03646727098403748,0.03646727098403748,0.0,0.0,0.0,1.9694725370369908
10,1997-09-11,1.858063801219806,1.3962201843573876,2.6186368033668583,1.858063801219806,1.858063801219806,0.1491098448550475,0.1491098448550475,0.1491098448550475,0.10496464036645795,0.10496464036645795,0.10496464036645795,0.04414520448858953,0.04414520448858953,0.04414520448858953,0.0,0.0,0.0,2.0071736460748535
11,1997-09-12,1.8577224537962123,1.3524438424908176,2.597780479807757,1.8577224537962123,1.8577224537962123,0.11814596282626585,0.11814596282626585,0.11814596282626585,0.06607017178182592,0.06607017178182592,0.06607017178182592,0.05207579104443992,0.05207579104443992,0.05207579104443992,0.0,0.0,0.0,1.975868416622478
12,1997-09-13,1.8573811063726184,1.1695301071819235,2.406233248658251,1.8573811063726184,1.8573811063726184,-0.07136801747585314,-0.07136801747585314,-0.07136801747585314,-0.1315878373498938,-0.1315878373498938,-0.1315878373498938,0.060219819874040646,0.060219819874040646,0.060219819874040646,0.0,0.0,0.0,1.7860130888967654
13,1997-09-14,1.8570397589490248,1.1704217931218304,2.4632574536107157,1.8570397589490248,1.8570397589490248,-0.05103607271052479,-0.05103607271052479,-0.05103607271052479,-0.11957282751428752,-0.11957282751428752,-0.11957282751428752,0.06853675480376271,0.06853675480376271,0.06853675480376271,0.0,0.0,0.0,1.8060036862385
14,1997-09-15,1.8566984115254308,1.3129177833101016,2.5209700323696675,1.8566984115254308,1.8566984115254308,0.039215085094424014,0.039215085094424014,0.039215085094424014,-0.03776997671320424,-0.03776997671320424,-0.03776997671320424,0.07698506180762825,0.07698506180762825,0.07698506180762825,0.0,0.0,0.0,1.8959134966198548
15,1997-09-16,1.856357064101837,1.3620569568953935,2.637366491047186,1.856357064101837,1.856357064101837,0.12881825689120016,0.12881825689120016,0.12881825689120016,0.043295712019793174,0.043295712019793174,0.043295712019793174,0.085522544871407,0.085522544871407,0.085522544871407,0.0,0.0,0.0,1.9851753209930372
16,1997-09-17,1.8560157166782434,1.4059557803194989,2.615452706863201,1.8560157166782434,1.8560157166782434,0.16870680436944266,0.16870680436944266,0.16870680436944266,0.0746001174094835,0.0746001174094835,0.0746001174094835,0.09410668695995915,0.09410668695995915,0.09410668695995915,0.0,0.0,0.0,2.024722521047686
17,1997-09-18,1.8556743692546496,1.4492858792579113,2.6678806649683313,1.8556743692546496,1.8556743692546496,0.20765963318012834,0.20765963318012834,0.20765963318012834,0.10496464036649764,0.10496464036649764,0.10496464036649764,0.10269499281363072,0.10269499281363072,0.10269499281363072,0.0,0.0,0.0,2.063334002434778
18,1997-09-19,1.8553330218310555,1.4233065347796618,2.683526552325278,1.8553330218310555,1.8553330218310555,0.17731550205805902,0.17731550205805902,0.17731550205805902,0.06607017178170044,0.06607017178170044,0.06607017178170044,0.11124533027635854,0.11124533027635854,0.11124533027635854,0.0,0.0,0.0,2.0326485238891143
19,1997-09-20,1.8549916744074617,1.2663763250083184,2.5004683066968583,1.8549916744074617,1.8549916744074617,-0.011871570481830972,-0.011871570481830972,-0.011871570481830972,-0.13158783734998594,-0.13158783734998594,-0.13158783734998594,0.119716266868155,0.119716266868155,0.119716266868155,0.0,0.0,0.0,1.8431201039256306
20,1997-09-21,1.8546503269838681,1.2338167793307413,2.5142035744660447,1.8546503269838681,1.8546503269838681,0.008494570844634232,0.008494570844634232,0.008494570844634232,-0.11957282751439657,-0.11957282751439657,-0.11957282751439657,0.1280673983590308,0.1280673983590308,0.1280673983590308,0.0,0.0,0.0,1.8631448978285023
21,1997-09-22,1.8543089795602743,1.3511775926574707,2.5901650119743085,1.8543089795602743,1.8543089795602743,0.09848968946562266,0.09848968946562266,0.09848968946562266,-0.0377699767130995,-0.0377699767130995,-0.0377699767130995,0.13625966617872218,0.13625966617872218,0.13625966617872218,0.0,0.0,0.0,1.952798669025897
22,1997-09-23,1.8539676321366805,1.4032294923850668,2.663404888908557,1.8539676321366805,1.8539676321366805,0.18755137262690783,0.18755137262690783,0.18755137262690783,0.043295712019726346,0.043295712019726346,0.043295712019726346,0.14425566060718145,0.14425566060718145,0.14425566060718145,0.0,0.0,0.0,2.0415190047635883
23,1997-09-24,1.8536262847130869,1.4162698033390768,2.699906353747218,1.8536262847130869,1.8536262847130869,0.22662002424165004,0.22662002424165004,0.22662002424165004,0.07460011740955123,0.07460011740955123,0.07460011740955123,0.15201990683209873,0.15201990683209873,0.15201990683209873,0.0,0.0,0.0,2.0802463089547367
24,1997-09-25,1.8532849372894928,1.471049574528399,2.773420397217963,1.8532849372894928,1.8532849372894928,0.26448377149868557,0.26448377149868557,0.26448377149868557,0.10496464036648193,0.10496464036648193,0.10496464036648193,0.15951913113220362,0.15951913113220362,0.15951913113220362,0.0,0.0,0.0,2.1177687087881782
25,1997-09-26,1.852943589865899,1.510868780806727,2.727225591493173,1.852943589865899,1.852943589865899,0.23279267642663695,0.23279267642663695,0.23279267642663695,0.06607017178160596,0.06607017178160596,0.06607017178160596,0.166722504645031,0.166722504645031,0.166722504645031,0.0,0.0,0.0,2.085736266292536
26,1997-09-27,1.8526022424423052,1.2829250745769487,2.4992292719190368,1.8526022424423052,1.8526022424423052,0.04201402505542974,0.04201402505542974,0.04201402505542974,-0.13158783734982502,-0.13158783734982502,-0.13158783734982502,0.17360186240525474,0.17360186240525474,0.17360186240525474,0.0,0.0,0.0,1.894616267497735
27,1997-09-28,1.8522608950187116,1.2826712306081216,2.5513234903373654,1.8522608950187116,1.8522608950187116,0.06055906807581669,0.06055906807581669,0.06055906807581669,-0.11957282751435586,-0.11957282751435586,-0.11957282751435586,0.18013189559017256,0.18013189559017256,0.18013189559017256,0.0,0.0,0.0,1.9128199630945284
28,1997-09-29,1.8519195475951176,1.400575189809186,2.602966644527883,1.8519195475951176,1.8519195475951176,0.1485203384683644,0.1485203384683644,0.1485203384683644,-0.03776997671321464,-0.03776997671321464,-0.03776997671321464,0.186290315181579,0.186290315181579,0.186290315181579,0.0,0.0,0.0,2.0004398860634818
