,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01 01:00:00,2.366735947749137,1.368678799288947,2.853502698640356,2.366735947749137,2.366735947749137,-0.26887690925267005,-0.26887690925267005,-0.26887690925267005,-0.1452467648364909,-0.1452467648364909,-0.1452467648364909,-0.08474162632209158,-0.08474162632209158,-0.08474162632209158,-0.038888518094087554,-0.038888518094087554,-0.038888518094087554,0.0,0.0,0.0,2.097859038496467
1,1997-09-02 01:00:00,2.3654416871839543,1.3924775384001573,2.9269441055578165,2.3654416871839543,2.3654416871839543,-0.1869400135498273,-0.1869400135498273,-0.1869400135498273,-0.1452467648349807,-0.1452467648349807,-0.1452467648349807,-0.004291474835648201,-0.004291474835648201,-0.004291474835648201,-0.037401773879198415,-0.037401773879198415,-0.037401773879198415,0.0,0.0,0.0,2.178501673634127
2,1997-09-03 01:00:00,2.3641474266187714,1.4353765573440904,2.9599160792162866,2.3641474266187714,2.3641474266187714,-0.145476889428415,-0.145476889428415,-0.145476889428415,-0.14524676483615898,-0.14524676483615898,-0.14524676483615898,0.03546053223706058,0.03546053223706058,0.03546053223706058,-0.03569065682931662,-0.03569065682931662,-0.03569065682931662,0.0,0.0,0.0,2.2186705371903566
3,1997-09-04 01:00:00,2.3628531660535885,1.5010168781486561,2.921111041767942,2.3628531660535885,2.3628531660535885,-0.14071870122263136,-0.14071870122263136,-0.14071870122263136,-0.1452467648347587,-0.1452467648347587,-0.1452467648347587,0.03826848102814384,0.03826848102814384,0.03826848102814384,-0.03374041741601647,-0.03374041741601647,-0.03374041741601647,0.0,0.0,0.0,2.2221344648309573
4,1997-09-05 01:00:00,2.3615589054884056,1.4973238411725212,3.003264872716113,2.3615589054884056,2.3615589054884056,-0.10258784685271663,-0.10258784685271663,-0.10258784685271663,-0.1452467648371488,-0.1452467648371488,-0.1452467648371488,0.07419675292377151,0.07419675292377151,0.07419675292377151,-0.03153783493933936,-0.03153783493933936,-0.03153783493933936,0.0,0.0,0.0,2.258971058635689
5,1997-09-06 01:00:00,2.3602646449232227,1.4589387102899696,3.019891820005954,2.3602646449232227,2.3602646449232227,-0.15619529547706254,-0.15619529547706254,-0.15619529547706254,-0.14524676483574844,-0.14524676483574844,-0.14524676483574844,0.018122825133081007,0.018122825133081007,0.018122825133081007,-0.029071355774395107,-0.029071355774395107,-0.029071355774395107,0.0,0.0,0.0,2.20406934944616
6,1997-09-07 01:00:00,2.35897038435804,1.3798291401004574,2.891872809814138,2.35897038435804,2.35897038435804,-0.24859347085235178,-0.24859347085235178,-0.24859347085235178,-0.1452467648343481,-0.1452467648343481,-0.1452467648343481,-0.07701549016426212,-0.07701549016426212,-0.07701549016426212,-0.026331215853741576,-0.026331215853741576,-0.026331215853741576,0.0,0.0,0.0,2.110376913505688
7,1997-09-08 01:00:00,2.357676123792857,1.3585700492303947,2.865580473816687,2.357676123792857,2.357676123792857,-0.2532979373913928,-0.2532979373913928,-0.2532979373913928,-0.14524676483673815,-0.14524676483673815,-0.14524676483673815,-0.0847416263220557,-0.0847416263220557,-0.0847416263220557,-0.023309546232598885,-0.023309546232598885,-0.023309546232598885,0.0,0.0,0.0,2.104378186401464
8,1997-09-09 01:00:00,2.356381863227674,1.4224941579421344,2.908578945757141,2.356381863227674,2.356381863227674,-0.16953870043221422,-0.16953870043221422,-0.16953870043221422,-0.14524676483533783,-0.14524676483533783,-0.14524676483533783,-0.0042914748356037554,-0.0042914748356037554,-0.0042914748356037554,-0.020000460761272668,-0.020000460761272668,-0.020000460761272668,0.0,0.0,0.0,2.18684316279546
9,1997-09-10 01:00:00,2.355087602662491,1.422872930995568,2.98779026486156,2.355087602662491,2.355087602662491,-0.12618635767622882,-0.12618635767622882,-0.12618635767622882,-0.1452467648377279,-0.1452467648377279,-0.1452467648377279,0.03546053223707163,0.03546053223707163,0.03546053223707163,-0.016400125075572602,-0.016400125075572602,-0.016400125075572602,0.0,0.0,0.0,2.2289012449862624
10,1997-09-11 01:00:00,2.3537933420973083,1.4696357928997439,3.0011399809866353,2.3537933420973083,2.3537933420973083,-0.11948509011808446,-0.11948509011808446,-0.11948509011808446,-0.1452467648363275,-0.1452467648363275,-0.1452467648363275,0.03826848102815939,0.03826848102815939,0.03826848102815939,-0.012506806309916338,-0.012506806309916338,-0.012506806309916338,0.0,0.0,0.0,2.2343082519792237
11,1997-09-12 01:00:00,2.3524990815321254,1.5174491322821388,3.0341239081393443,2.3524990815321254,2.3524990815321254,-0.07937091504640992,-0.07937091504640992,-0.07937091504640992,-0.14524676483371546,-0.14524676483371546,-0.14524676483371546,0.07419675292376327,0.07419675292376327,0.07419675292376327,-0.008320903136457676,-0.008320903136457676,-0.008320903136457676,0.0,0.0,0.0,2.2731281664857157
12,1997-09-13 01:00:00,2.3512048209669425,1.4751474286867623,2.8941663783114864,2.3512048209669425,2.3512048209669425,-0.13096889563875733,-0.13096889563875733,-0.13096889563875733,-0.1452467648361055,-0.1452467648361055,-0.1452467648361055,0.018122825133012926,0.018122825133012926,0.018122825133012926,-0.003844955935664761,-0.003844955935664761,-0.003844955935664761,0.0,0.0,0.0,2.2202359253281854
13,1997-09-14 01:00:00,2.3499105604017596,1.3625555310214439,2.87737642444546,2.3499105604017596,2.3499105604017596,-0.2213458921053163,-0.2213458921053163,-0.2213458921053163,-0.14524676483470517,-0.14524676483470517,-0.14524676483470517,-0.07701549016417403,-0.07701549016417403,-0.07701549016417403,0.0009163628935628263,0.0009163628935628263,0.0009163628935628263,0.0,0.0,0.0,2.1285646682964434
14,1997-09-15 01:00:00,2.3486162998365767,1.4150626145224812,2.812322052096528,2.3486162998365767,2.3486162998365767,-0.2240321128847413,-0.2240321128847413,-0.2240321128847413,-0.14524676483709525,-0.14524676483709525,-0.14524676483709525,-0.08474162632212744,-0.08474162632212744,-0.08474162632212744,0.0059562782744814104,0.0059562782744814104,0.0059562782744814104,0.0,0.0,0.0,2.1245841869518354
15,1997-09-16 01:00:00,2.347322039271394,1.4589995901598032,2.9320990485243352,2.347322039271394,2.347322039271394,-0.13827227863563715,-0.13827227863563715,-0.13827227863563715,-0.14524676483569487,-0.14524676483569487,-0.14524676483569487,-0.004291474835559303,-0.004291474835559303,-0.004291474835559303,0.011265961035617012,0.011265961035617012,0.011265961035617012,0.0,0.0,0.0,2.209049760635757
16,1997-09-17 01:00:00,2.346027778706211,1.5112652896767678,2.963621433162145,2.346027778706211,2.346027778706211,-0.09295163746550904,-0.09295163746550904,-0.09295163746550904,-0.14524676483808496,-0.14524676483808496,-0.14524676483808496,0.035460532237069256,0.035460532237069256,0.035460532237069256,0.016834595135506655,0.016834595135506655,0.016834595135506655,0.0,0.0,0.0,2.253076141240702
17,1997-09-18 01:00:00,2.344733518141028,1.4958601651491372,2.9955306883139756,2.344733518141028,2.344733518141028,-0.0843288210663046,-0.0843288210663046,-0.0843288210663046,-0.14524676483668456,-0.14524676483668456,-0.14524676483668456,0.03826848102817495,0.03826848102817495,0.03826848102817495,0.022649462742205046,0.022649462742205046,0.022649462742205046,0.0,0.0,0.0,2.2604046970747236
18,1997-09-19 01:00:00,2.343439257575845,1.6053380281557643,3.0386744493332234,2.343439257575845,2.343439257575845,-0.04235396570679417,-0.04235396570679417,-0.04235396570679417,-0.14524676483528426,-0.14524676483528426,-0.14524676483528426,0.0741967529237674,0.0741967529237674,0.0741967529237674,0.028696046204722665,0.028696046204722665,0.028696046204722665,0.0,0.0,0.0,2.301085291869051
19,1997-09-20 01:00:00,2.3421449970106623,1.4871941385207785,2.9619948410902026,2.3421449970106623,2.3421449970106623,-0.0921657939155454,-0.0921657939155454,-0.0921657939155454,-0.14524676483635268,-0.14524676483635268,-0.14524676483635268,0.0181228251329278,0.0181228251329278,0.0181228251329278,0.03495814578787948,0.03495814578787948,0.03495814578787948,0.0,0.0,0.0,2.249979203095117
20,1997-09-21 01:00:00,2.3408507364454794,1.453206012550242,2.8901980653437724,2.3408507364454794,2.3408507364454794,-0.18084424310939223,-0.18084424310939223,-0.18084424310939223,-0.14524676483495239,-0.14524676483495239,-0.14524676483495239,-0.07701549016422012,-0.07701549016422012,-0.07701549016422012,0.04141801188978028,0.04141801188978028,0.04141801188978028,0.0,0.0,0.0,2.160006493336087
21,1997-09-22 01:00:00,2.3395564758802965,1.3928758050373158,2.9019269122761595,2.3395564758802965,2.3395564758802965,-0.1819319008367772,-0.1819319008367772,-0.1819319008367772,-0.14524676483734247,-0.14524676483734247,-0.14524676483734247,-0.08474162632209159,-0.08474162632209159,-0.08474162632209159,0.04805649032265681,0.04805649032265681,0.04805649032265681,0.0,0.0,0.0,2.1576245750435192
22,1997-09-23 01:00:00,2.3382622153151136,1.525589846239208,2.976721182992865,2.3382622153151136,2.3382622153151136,-0.09468506055643924,-0.09468506055643924,-0.09468506055643924,-0.1452467648359421,-0.1452467648359421,-0.1452467648359421,-0.004291474835641657,-0.004291474835641657,-0.004291474835641657,0.054853179115144486,0.054853179115144486,0.054853179115144486,0.0,0.0,0.0,2.2435771547586745
23,1997-09-24 01:00:00,2.3369679547499307,1.5194080996475694,3.043493869592098,2.3369679547499307,2.3369679547499307,-0.047999637409000956,-0.047999637409000956,-0.047999637409000956,-0.1452467648345418,-0.1452467648345418,-0.1452467648345418,0.03546053223706676,0.03546053223706676,0.03546053223706676,0.06178659518847409,0.06178659518847409,0.06178659518847409,0.0,0.0,0.0,2.2889683173409296
