,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-03,0.9736078373728579,0.41262718731436604,1.519167137192351,0.9736078373728579,0.9736078373728579,-0.02694615263735349,-0.02694615263735349,-0.02694615263735349,0.02661882185774865,0.02661882185774865,0.02661882185774865,-0.053564974495102134,-0.053564974495102134,-0.053564974495102134,0.0,0.0,0.0,0.9466616847355045
1,1997-09-04,0.9729412959850158,0.4220551620534681,1.5420782836810536,0.9729412959850158,0.9729412959850158,-0.004374210920117071,-0.004374210920117071,-0.004374210920117071,0.04939309902165032,0.04939309902165032,0.04939309902165032,-0.0537673099417674,-0.0537673099417674,-0.0537673099417674,0.0,0.0,0.0,0.9685670850648987
2,1997-09-05,0.9722747545971736,0.3942901716230532,1.5212014224677661,0.9722747545971736,0.9722747545971736,-0.02504422179968074,-0.02504422179968074,-0.02504422179968074,0.028524918266504513,0.028524918266504513,0.028524918266504513,-0.05356914006618526,-0.05356914006618526,-0.05356914006618526,0.0,0.0,0.0,0.9472305327974929
3,1997-09-06,0.9716082132093312,0.28735944875927416,1.4461867281249252,0.9716082132093312,0.9716082132093312,-0.10974871155958484,-0.10974871155958484,-0.10974871155958484,-0.05679016471850292,-0.05679016471850292,-0.05679016471850292,-0.05295854684108191,-0.05295854684108191,-0.05295854684108191,0.0,0.0,0.0,0.8618595016497463
4,1997-09-07,0.970941671821489,0.2925316762954326,1.4796839430168771,0.970941671821489,0.970941671821489,-0.08518915386947593,-0.08518915386947593,-0.08518915386947593,-0.03326243627414734,-0.03326243627414734,-0.03326243627414734,-0.05192671759532859,-0.05192671759532859,-0.05192671759532859,0.0,0.0,0.0,0.8857525179520132
5,1997-09-08,0.970275130433647,0.3481288495065901,1.4561435195721975,0.970275130433647,0.970275130433647,-0.07715202529403971,-0.07715202529403971,-0.07715202529403971,-0.02668404124687836,-0.02668404124687836,-0.02668404124687836,-0.05046798404716136,-0.05046798404716136,-0.05046798404716136,0.0,0.0,0.0,0.8931231051396072
6,1997-09-09,0.9696085890458048,0.3820030275576508,1.5021697225181203,0.9696085890458048,0.9696085890458048,-0.03638002958277978,-0.03638002958277978,-0.03638002958277978,0.01219980309362478,0.01219980309362478,0.01219980309362478,-0.04857983267640456,-0.04857983267640456,-0.04857983267640456,0.0,0.0,0.0,0.9332285594630251
7,1997-09-10,0.9689420476579624,0.392949081570541,1.5719739826393473,0.9689420476579624,0.9689420476579624,-0.019644064851502815,-0.019644064851502815,-0.019644064851502815,0.0266188218577279,0.0266188218577279,0.0266188218577279,-0.04626288670923072,-0.04626288670923072,-0.04626288670923072,0.0,0.0,0.0,0.9492979828064596
8,1997-09-11,0.9682755062701203,0.4444426833430588,1.5743394950584393,0.9682755062701203,0.9682755062701203,0.005872238753015329,0.005872238753015329,0.005872238753015329,0.04939309902162844,0.04939309902162844,0.04939309902162844,-0.043520860268613105,-0.043520860268613105,-0.043520860268613105,0.0,0.0,0.0,0.9741477450231356
9,1997-09-12,0.9676089648822781,0.3823326995925654,1.4819471858211593,0.9676089648822781,0.9676089648822781,-0.011835567248111405,-0.011835567248111405,-0.011835567248111405,0.028524918266605685,0.028524918266605685,0.028524918266605685,-0.04036048551471709,-0.04036048551471709,-0.04036048551471709,0.0,0.0,0.0,0.9557733976341667
10,1997-09-13,0.9669424234944359,0.29032882461805365,1.426964478742333,0.9669424234944359,0.9669424234944359,-0.09358157857845895,-0.09358157857845895,-0.09358157857845895,-0.05679016471843921,-0.05679016471843921,-0.05679016471843921,-0.036791413860019724,-0.036791413860019724,-0.036791413860019724,0.0,0.0,0.0,0.873360844915977
11,1997-09-14,0.9662758821065937,0.2994920284593295,1.452970794998065,0.9662758821065937,0.9662758821065937,-0.06608852886485148,-0.06608852886485148,-0.06608852886485148,-0.03326243627412523,-0.03326243627412523,-0.03326243627412523,-0.03282609259072625,-0.03282609259072625,-0.03282609259072625,0.0,0.0,0.0,0.9001873532417421
12,1997-09-15,0.9656093407187515,0.3406760846803062,1.4941625822727957,0.9656093407187515,0.9656093407187515,-0.0551636597037509,-0.0551636597037509,-0.0551636597037509,-0.02668404124692885,-0.02668404124692885,-0.02668404124692885,-0.02847961845682206,-0.02847961845682206,-0.02847961845682206,0.0,0.0,0.0,0.9104456810150006
13,1997-09-16,0.9649427993309093,0.35024123257752077,1.484490035549748,0.9649427993309093,0.9649427993309093,-0.011569766912027145,-0.011569766912027145,-0.011569766912027145,0.012199803093659345,0.012199803093659345,0.012199803093659345,-0.02376957000568649,-0.02376957000568649,-0.02376957000568649,0.0,0.0,0.0,0.9533730324188822
14,1997-09-17,0.9642762579430671,0.42551382001862675,1.5500680871272179,0.9642762579430671,0.9642762579430671,0.007903001231393533,0.007903001231393533,0.007903001231393533,0.026618821857672992,0.026618821857672992,0.026618821857672992,-0.01871582062627946,-0.01871582062627946,-0.01871582062627946,0.0,0.0,0.0,0.9721792591744607
15,1997-09-18,0.9636097165552249,0.44960969486485836,1.5774772377817876,0.9636097165552249,0.9636097165552249,0.03605276458072254,0.03605276458072254,0.03605276458072254,0.0493930990216568,0.0493930990216568,0.0493930990216568,-0.013340334440934262,-0.013340334440934262,-0.013340334440934262,0.0,0.0,0.0,0.9996624811359474
