,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1997-09-01,3.565265450153468,2.942636536993239,4.234207941698582,3.565265450153468,3.565265450153468,0.005710477525455156,0.005710477525455156,0.005710477525455156,-0.014739886349689518,-0.014739886349689518,-0.014739886349689518,0.020450363875144678,0.020450363875144678,0.020450363875144678,0.0,0.0,0.0,3.5709759276789232
1,1997-09-02,3.5648358059890524,2.96712643876352,4.411451130059296,3.5648358059890524,3.5648358059890524,0.09843941420199814,0.09843941420199814,0.09843941420199814,0.07457372896599893,0.07457372896599893,0.07457372896599893,0.023865685235999214,0.023865685235999214,0.023865685235999214,0.0,0.0,0.0,3.6632752201910503
2,1997-09-03,3.564406161824637,3.0090930169609345,4.388237689039308,3.564406161824637,3.564406161824637,0.11761027799040494,0.11761027799040494,0.11761027799040494,0.09008963661696451,0.09008963661696451,0.09008963661696451,0.027520641373440447,0.027520641373440447,0.027520641373440447,0.0,0.0,0.0,3.682016439815042
3,1997-09-04,3.563976517660222,3.0207496177295656,4.384055901507276,3.563976517660222,3.563976517660222,0.16317023010328266,0.16317023010328266,0.16317023010328266,0.13176869963792723,0.13176869963792723,0.13176869963792723,0.03140153046535545,0.03140153046535545,0.03140153046535545,0.0,0.0,0.0,3.7271467477635047
4,1997-09-05,3.5635468734958073,2.9533603965060204,4.308163237897091,3.5635468734958073,3.5635468734958073,0.11210090707094943,0.11210090707094943,0.11210090707094943,0.07660745994252995,0.07660745994252995,0.07660745994252995,0.03549344712841951,0.03549344712841951,0.03549344712841951,0.0,0.0,0.0,3.6756477805667567
5,1997-09-06,3.5631172293313917,2.707776230480483,4.145609073656212,3.5631172293313917,3.5631172293313917,-0.13195803038236348,-0.13195803038236348,-0.13195803038236348,-0.17173845518225425,-0.17173845518225425,-0.17173845518225425,0.039780424799890725,0.039780424799890725,0.039780424799890725,0.0,0.0,0.0,3.4311591989490284
6,1997-09-07,3.5626875851669766,2.7368704073236607,4.088498213013499,3.5626875851669766,3.5626875851669766,-0.1423155966157782,-0.1423155966157782,-0.1423155966157782,-0.1865611836316777,-0.1865611836316777,-0.1865611836316777,0.04424558701589951,0.04424558701589951,0.04424558701589951,0.0,0.0,0.0,3.4203719885511985
7,1997-09-08,3.5622579410025614,2.9620207159277707,4.2742194893523875,3.5622579410025614,3.5622579410025614,0.03413141963438079,0.03413141963438079,0.03413141963438079,-0.014739886349543554,-0.014739886349543554,-0.014739886349543554,0.048871305983924335,0.048871305983924335,0.048871305983924335,0.0,0.0,0.0,3.5963893606369424
8,1997-09-09,3.561828296838146,3.009545799643048,4.381505890098904,3.561828296838146,3.561828296838146,0.12821309573154716,0.12821309573154716,0.12821309573154716,0.07457372896598816,0.07457372896598816,0.07457372896598816,0.053639366765559,0.053639366765559,0.053639366765559,0.0,0.0,0.0,3.690041392569693
9,1997-09-10,3.5613986526737307,3.041343754205564,4.358149151596525,3.5613986526737307,3.5613986526737307,0.1486207719395117,0.1486207719395117,0.1486207719395117,0.09008963661693034,0.09008963661693034,0.09008963661693034,0.058531135322581376,0.058531135322581376,0.058531135322581376,0.0,0.0,0.0,3.7100194246132423
